HOSPITAL OR CLNIC NAME ,PROVIDER TYPE,EMIRATE,ADDRESS,TELEPHONE,GOLD NETWORK,SILVER PREMIUM NETWORK,SILVER CLASSIC NETWORK,GREEN NETWORK,EMERALD NETWORK,PEARL NETWORK,DENTAL COVER,SPECIAL REMARKS
Modern Care Pharmacy LLC ,PHARMACY,DUBAI,"Shop No-22 & 23, Building-Maitha 1, Corniche, Deira Water front.",04-43686411,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
LIVERPOOL PHARMACY L.L.C,PHARMACY,DUBAI,"KHALID BIN WALEED, BUILDING AMIN FALAKNAZ, AL RAFFA, BUR DUBAI",04-3379541,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
GERMAN ADVANCE MEDICAL CENTRE PHARMACY- SOLE  PROPRIETORSHIP L.L.C,PHARMACY,ABU DHABI,"Villa No.17, Baniyas East 8, AbuDhabi",02-4441529,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
GERMAN ADVANCE MEDICAL CENTRE SOLE PROPRIETORSHIP  L.L.C,CLINIC,ABU DHABI,"Villa No.17, Baniyas East 8, AbuDhabi",02-4441529,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
SADD MAAREB MEDICAL CENTER PHARMACY - SOLE  PROPRIETORSHIP L.L.C PF5007,PHARMACY,ABU DHABI,"Villa No.89, Baniyas East 7B, Abu Dhabi",02-4441529,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
ASTER ROYAL CLINIC DOWNTOWN BR OF DM HEALTHCARE - ASTER PREMIUM,CLINIC,DUBAI,"The Residences,Tower 6,Downtown Dubai,Burj Residence Phase 1 &11- Dubai. ",04-5298194,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
ASTER MEDICAL CENTRE ARJAN (BR OF D M HEALTHCARE),CLINIC,DUBAI,BARSHA SOUTH,04-4400500,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
ASTER PHARMACY180 AND CLINIC BR OF ASTER PHARMACIES GROUP LLC Express Clinic,CLINIC,DUBAI,"The Rimal, Ground floor, Flat No-173-0, Next to Carrefoure - JBR, Marsa Dubai, PoBox 8703, Dubai, UAE",04-5298194,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
ASTER MEDICAL CENTRE - BR OF (D M HEALTHCARE) LLC UMM AL QUWAIN BRANCH,CLINIC,UMM AL QUWAIN,"AL MASA - 2 BUILDING, GROUND FLOOR, KING FAISAL STREET, GREEN BELT - UMM AL QUWAIN - UAE",06-5770288,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
ASTER MEDICAL CENTRE LIWAN BR OF DM HEALTHCARE LLC,CLINIC,DUBAI,"Aster Clinic Liwan, Binghatti Jewels Building -Ground Floor, Liwan, Dubai, UAE",04-5298194,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
ABILITY PEDIATRIC REHABILITATION MEDICAL CENTER LLC,CLINIC,ABU DHABI, Villa #15 Defence Road - behind Seven Hotpot Restaurant - Al Danah - Zone 1 - Abu Dhabi,02-3092900,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
"MEDICLINIC CREEK
HARBOUR (BR OF
MEDICLINIC CLINICS
INVESTMENT L.L.C.)",CLINIC,DUBAI," Creekside 18 Podium, Dubai Creek Harbour, Dubai, United Arab Emirates",04-212 5888,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
FAITH JABAL MEDICAL CENTER LLC,CLINIC,DUBAI,Shop Number 4 Labour Camp Building  Jebel Ali Industrial Area First  Jebel Ali  Dubai UAE,04-3956479,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
ALL CARE PHARMACY LLC-ABUDHABI-PF2926,PHARMACY,ABU DHABI,VILLA NO.726 DELMA STREET ; SAME BUILDING OF ALL CARE MEDICAL CENTER,02-6722758,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
REVIVE DENTAL CLINIC FZ-LLC,CLINIC,DUBAI,"Dubai Healthcare City, building 27, block C, 3rd floor,office 303",04-2764269,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Covered,
ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH 11,PHARMACY,ABU DHABI,AL AIN MALL BRANCH - OPPOSITE CARREFOUR,03-7661511,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
NAHEL ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C.,PHARMACY,ABU DHABI,AL AIN LADIES CLUB BRANCH,03-7851188,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH,PHARMACY,ABU DHABI,"AL JIMI MALL BRANCH- NEW EXTENTION, LOWER GROUND",03-7666599,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ARABIAN SPECIALIST MEDICAL CENTER PHARMACY L.L.C.,PHARMACY,ABU DHABI,ARABIAN SPECIALIST MEDICAL CENTER BRANCH - TWAM STREET,03 -7631151,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C.- BRANCH 7,PHARMACY,ABU DHABI,ASHAREJ BRANCH-TWAM STREET,03-7669772,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH 6,PHARMACY,ABU DHABI,AL BATEEN BRANCH-BESIDE SOUQ EXTRA,03-7669770,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH 3,PHARMACY,ABU DHABI,AL HILI NAYIFA BRANCH-AL AIN CITY CENTER BUILDING,03-7669788,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ELEGANCE MEDICAL CENTER PHARMACY,PHARMACY,ABU DHABI,ELEGANCE MEDICAL CENTER BRANCH - NEAR SAFEER MARKET,03-7666312,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY SOLE PRORIETORSHIP LLC- BRANCH 25,PHARMACY,ABU DHABI,ETIHAD PLAZA BRANCH - ETIHAD PLAZA BUILDING,050-1423309,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH 13,PHARMACY,ABU DHABI,FALAJ HAZZA BRANCH - HOME ROYAL HYPERMARKET BULDING,03-7669220,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH,PHARMACY,ABU DHABI,"AL JIMI MALL BRANCH- NEW EXTENTION, LOWER GROUND",03-7666599,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH 8,PHARMACY,ABU DHABI,AL MASOUDI BRANCH (ALNNBAGH)- GRAND MART BUILDING,03-7558655,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH 9,PHARMACY,ABU DHABI,HAZZA BIN ZAYED STADIUM BRANCH-AL AIN SQUARE,03-7663301,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
THE HEART MEDICAL CENTER PHARMACY L.L.C.,PHARMACY,ABU DHABI,HEART MEDICAL CENTER BRANCH - OPP. AL AIN HOSPITAL,"03-7511122 
",Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH 12,PHARMACY,ABU DHABI,"Al Jimi Mall, New Extension, Basement Floor",03-7666599,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH,PHARMACY,ABU DHABI,"AL JIMI MALL BRANCH- NEW EXTENTION, LOWER GROUND",03-7666599,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH 5,PHARMACY,ABU DHABI,MAKANI MALL BRANCH-NEIMA,03-7669918,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AL AIN PHARMACY L.L.C - RAK BRANCH,PHARMACY,RAS AL KHAIMAH,RAS AL KHAIMAH BRANCH - MANAR MALL (SOUTH ENTRANCE),07-2082117,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH 4,PHARMACY,ABU DHABI,MNAIZLAH BRANCH -  WAHAT AL AIN MARKETS BUILDING,03 7664430,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH,PHARMACY,ABU DHABI,"AL JIMI MALL BRANCH- NEW EXTENTION, LOWER GROUND",03-7666599,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH,PHARMACY,ABU DHABI,"AL JIMI MALL BRANCH- NEW EXTENTION, LOWER GROUND",03-7666599,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH,PHARMACY,ABU DHABI,"AL JIMI MALL BRANCH- NEW EXTENTION, LOWER GROUND",03-7666599,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH,PHARMACY,ABU DHABI,"AL JIMI MALL BRANCH- NEW EXTENTION, LOWER GROUND",03-7666599,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C.- BRANCH 1,PHARMACY,ABU DHABI,SHABHAT PLAZA BRANCH-AL SAROOJ NEW,03-7656506,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY- SOLE PROPRIETORHIP L.L.C.- BRANCH 23,PHARMACY,ABU DHABI,SHIAAB AL ASHKHAR BRANCH - AL AIN COOP BUILDING,050-3445850,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY SOLE PROPRIETORSHIP BRANCH,PHARMACY,DUBAI,DUBAI SILICON OASIS BRANCH- SOUQ EXRTA MALL BUILDING,04-3342333,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SPANISH CENTER PHARMACY L.L.C.,PHARMACY,ABU DHABI,SPANISH MEDICAL CENTER BRANCH - AL BATEEN,02-5460666,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY SOLE PROPRIETORSHIP BRANCH DUBAI BRANCH,PHARMACY,DUBAI,"SHEIKH ZAYED ROAD BRANCH, AL ROSTAMANI TWIN TOWER A",04-5477177,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY- SOLE PROPRIETORHIP L.L.C.- BRANCH 24,PHARMACY,ABU DHABI,"SALAMAT BRANCH - AL SAFA SUPERMARKET BUILDING, OPPOSITE AL SALAMAT CIVIL DEFENCE",03-7544877,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
NEW AL AIN PHARMACY - L L C - BRANCH AL YAHAR,PHARMACY,ABU DHABI,AL YAHAR NORTH BRANCH (ALAAMERAH) -  NEAR AL AIN CITY CENTER S/M,03-753 1533,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C.- BRANCH 2,PHARMACY,ABU DHABI, AL YAHAR SOUTH BRANCH (ALAAMERAH) -ALIAH MALL,03-7669884,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
APOTEKE PHARMACY - SOLE PROPRIETORSHIP L.L.C.,PHARMACY,ABU DHABI,KHALIFA CITY BRANCH 1 - NEAR KHALIFA SQUARE ,02-8846622,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AL AIN PHARMACY -SOLE PROPRIETORSHIP L L C - Branch,PHARMACY,AJMAN, AL YASMEEN BRANCH - AL YASMEEN AREA ,050-4489530,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
NEW ALAIN PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH,PHARMACY,ABU DHABI,AL DHAHER BRANCH - BESIDE MEZYAD MEDICAL CENTER,03-7516675,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE 119 PHARMACY EXPRESS CLINIC,CLINIC,DUBAI,"Sobha Hartland, The terrace residence - Shop no - 02 - Nad Al Sheba 1 - Dubai",04 5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY 125 EXPRESS CLINIC,CLINIC,DUBAI,"Dar Mira Residence, Al Meydan Rd, Nad Al Sheba 1, Dubai, UAE",04 5610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE MEDICAL CENTRE 5 BR OF LIFE CLINIC LLC,CLINIC,DUBAI,"CHEZ MOI BUILDING - SHOP NO: 1,2,3,4, PLOT NO: 211 - INTERNATIONAL CITY PHASE(2) - WARSAN 4 - DUBAI",04 5610000,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Covered,
ACCESS AL SAJAA CLINIC,CLINIC,SHARJAH,AL SAJAA INDUSTRIALAREA,06-7678795     ,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
ASTER MEDICAL CENTRE SPORTS CITY,CLINIC,DUBAI,DUBAI SPORT CITY,04-4577919,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
NEW CITY CLINIC L.L.C,CLINIC,DUBAI,"Ground Floor, Al Arti Plaza, Near Civil Defense, Zabeel St, AL Karama, Dubai, UAE",04-6056056,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
A P L Pharmacy LLC,PHARMACY,DUBAI,"Ground Floor, Al Arti Plaza, Near Civil Defense, Zabeel St, AL Karama, Dubai, UAE",04-6056046,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
MEDICLINIC DUBAI HILLS,CLINIC,DUBAI,"First Floor, Dubai Hills Hadaeq Sheikh Mohammad Bin Rashid StreetMallDubai, United Arab Emirates.",04-2125888,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
MEDICLINIC DUBAI HILLS PHARMACY,PHARMACY,DUBAI,"First Floor, Dubai Hills Hadaeq Sheikh Mohammad Bin Rashid StreetMallDubai, United Arab Emirates.",04-2125888,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
HEALTHHUB PHARMACY BR. OF ALFUTTAIM HEALTHCARE SINGLE PERSON COMPANY LLC-HEALTH CAMP AFG,PHARMACY,DUBAI,ZEN CLUSTER 3  DISCOVERY GARDENS  GROUND FLOOR  BUILDING NO 6  1A STREET,04-2085952,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,"""SILK ROAD IS COVERED FOR AFG GROUP POLICY MEMBERS ONLY."""
MOORFIELDS EYE HOSPITAL DUBAI PHARMACY-IN-HOUSE PHARMACY OF MOORFIELDS HOSPITAL,PHARMACY,DUBAI,DUBAI HEALTHCARE CITY  PO BOX 505054  DISTRICT 1  AL RAZI BUILDING 64  BLOCK E  FLOOR 3  DUBAI  UAE,04-4297809,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
ARABELLA PHARMACY LLC BRANCH,PHARMACY,DUBAI,"Shop# GM-04, Sadaf 4, Jumeirah Beach Residence, Dubai",04-5684958,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
SUPERCARE PHARMACY LLC BRANCH,PHARMACY,DUBAI,"Shop# TDM-LG-120, Lower Ground, Dubai Mall, Dubai.",04-3343233,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
"SUPER CARE PHARMACY LLC BRANCH1, MOVENPICK (SUPERCARE GRP)",PHARMACY,DUBAI,"Unit# G2, Movenpick Hotel Apartments, Downtown, Dubai",04-3343233,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
"SUPER CARE PHARMACY LLC BRANCH, JVC (SUPERCARE GRP)",PHARMACY,DUBAI,"Shop# 01, Arcadia Tower, Al Barsha South Fourth (Jumeirah Villa Circle), Dubai",04-5684949,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
ARABELLA PHARMACY L.L.C - BRANCH OF ABU DHABI 1 (SUPERCARE GRP),PHARMACY,ABU DHABI,"Shop# GF-D-135, Al Reem Mall, Abu Dhabi",04-3343233,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
"SUPERCARE PHARMACY LLC -BRANCH OF ABU DHABI 6, (SUPERCARE GROUP)",PHARMACY,ABU DHABI,SHOP B106 AL MUNEERA ISLAND ABU DHABI,04-3343233,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
SUPERCARE PHARMACY LLC - BRANCH OF ABU DHABI 9 (SUPERCARE GROUP),PHARMACY,ABU DHABI,WATERS EDGE BUIL YAS ISLAND ABU DHABI,04-3343233,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
SuperCare Pharmacy LLC Branch,PHARMACY,DUBAI,"Shop# 12, Wadi Al Safa 5, Villanova Marketplace, Dubai",04-3211159,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
SuperCare Pharmacy LLC Branch,PHARMACY,DUBAI,"Shop# TDM-LG-196, Lower Ground, Dubai Mall, Dubai",04-3454502,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
SuperCare Pharmacy LLC Branch,PHARMACY,DUBAI,"Shop# FF-327, China Town, Dubai Mall, Dubai",04-3343233,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
SuperCare Pharmacy LLC Branch,PHARMACY,DUBAI,"Unit# R-05, Reef Residence, Al Barsha South Fourth (Jumeirah Villa Circle), Dubai",(+971)55-7392661,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
SuperCare Pharmacy LLC Branch,PHARMACY,DUBAI,"Unit# Retail-07, 52|42 Podium, Emaar Community, Dubai Marina, Dubai",(+971)55-7392661,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
SuperCare Pharmacy L.L.C - Branch Of Abu Dhabi 10,PHARMACY,ABU DHABI,"Shop# GF-F-188, Al Reem Mall, Abu Dhabi",(+971)55-7392661,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
ENHANCE BY MEDICLINIC BR OF MEDICLINIC CLINICS,CLINIC,DUBAI,DUBAI MALL  BUSINESS BAY,8003642623,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL FUTTAIM REAL ESTATE LLC-COMPANY CLINIC (HEALTHHUB BRANCH),CLINIC,DUBAI,Al Futtaim Engineering-DIP 2,04-5967350,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Covered,"""SILK ROAD IS COVERED FOR AFG GROUP POLICY MEMBERS ONLY."""
Ajman University Medical Center,CLINIC,AJMAN,"al jurf1, university st",050-1841450,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Covered,
AL ALIYA PHARMACY,PHARMACY,RAS AL KHAIMAH,"Shop no 8 and 9 sheikh Mohammad bin salim road, near BANIYAS Supermarket,  Dafan Al Khor,Ras Al Khaimah, U.A.E",07-227 4566,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
GRAND INFINITY MEDICAL CENTER LLC BRANCH,CLINIC,DUBAI,Hessyan 2 Area  jebel Ali,04-2621791,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,DENTAL SERVICES COVERED UPTO EBP & BASIC NETWORK.
GRAND INFINITY PHARMACY LLC BRANCH,PHARMACY,DUBAI,"SHOP NO.4, NEXT TO GRAND EXCELSIOR HOTEL, MUTEENA STREET, DIERA,DUBAI",04-2621791,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
"SUPER CARE PHARMACY LLC BRANCH, ASWAQ AL MIZHAR (SUPERCARE GRP)",PHARMACY,DUBAI,"Shop# 9, Aswaaq Mall - Al Mizhar, Al Mizhar 1, Dubai",04-3504500,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
"SUPER CARE PHARMACY LLC BRANCH, ASWAQ AL WARQA 2 (SUPERCARE GRP)",PHARMACY,DUBAI,"Shop# 3, Aswaaq Mall - Al Warqa, Al Warqa 2, Dubai",04-3504500,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
ZEST WELLNESS PHARMACY LLC - BRANCH OF ABU DHABI 1 (ASTER PHARMACY GROUP),PHARMACY,ABU DHABI,"Unit 07 & 08, Waitrose centre, Khalifa City,SW-3, Sector 32, Theyab Bin Eissa st, Abu Dhabi, UAE",02-5653462,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
VIP DOCTOR L.L.C,CLINIC,DUBAI,"3rd Floor, Block-O, Habtoor Staff Accommodation, IMPZ, Dubai, UAE",45802613,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
Lifenity International Advanced PolyClinic,CLINIC,DUBAI,"19 A,JMS Building , Al Nahda 2,Dubai",04-3216964,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
Lifenity International Advanced Polyclinic LLC Branch,CLINIC,DUBAI,"Shop No :5, Elite Business Centre, Al Barsha 1,Dubai",04-2586624,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
Lifenity International Advanced Pharmacy LLC,PHARMACY,DUBAI,"19 A Street, JMS Building, Al Nahda 2,Dubai",04-3216964,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
JUNAH PHARMACY LLC,PHARMACY,SHARJAH,"58 Wasit Street, Al Azra, Sharjah, Uae",06-7411031,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
MOTHER AND FETUSES MEDICAL CENTER LLC,CLINIC,SHARJAH,"58 Wasit Street, Al Azra, Sharjah, Uae",06-7411031,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
MEDPLUS MEDICAL CENTRE LLC,CLINIC,RAS AL KHAIMAH,Golden Crown Building,07-2369006,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MEDPLUS PHARMACY LLC,PHARMACY,RAS AL KHAIMAH,Golden Crown Building,07-2369006,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
DR. CHOI'S CHIROPRACTIC CLINIC FZ-LLC,CLINIC,DUBAI,"Room 1005, First floor, Al razi Bldg 64, Block A, Dubai Healthcare City, Dubai, UAE",04-5896512,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
LIFE PHARMACY BARSHA SOUTH FOURTH EXPRESS CLINIC,CLINIC,DUBAI,LIFE PHARMACY BARSHA SOUTH FOURTH EXPRESS CLINIC  The Manhattan Al Barsha South,045610000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
UP & RUNNING MEDICAL CENTER,CLINIC,DUBAI,675 AL WASL ROAD  AL SAFA 1  DUBAI  UAE,04-5185400,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
UP AND RUNNING REHABILITATION CENTER L L C,CLINIC,DUBAI,EMIRATES GOLF CLUB  EMIRATES HILLS 2  NEAR NAKHEEL METRO  DUBAI,04-5185400,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
UP AND RUNNING MEDICAL CENTER LLC DIFC,CLINIC,DUBAI,THE GATE BUILDING  HAPPINESS STREET  DIFC,04-5185400,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL QASSIMI WOMEN'S & CHILDREN'S HOSPITAL - MINISTRY OF HEALTH,MOH HOSPITAL,SHARJAH,NOT AVILABALE,06-5120682,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
**THALASSEMIA CENTER- DUBAI HEALTH AUTHORITY,DHA CLINIC,DUBAI,OUT METHA,800342,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
KINGS COLLEGE HOSPITAL LONDON MEDICAL CENTER BR OF KCH HEALTHCARE LLC AMBULATORY PHARMACY,PHARMACY,DUBAI,"Al Kharbash Building, Jumeirah Billqetair Street (37B street)",04-3789555,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
MODERN PHARMACY L.L.C - BRANCH OF ABU DHABI 1,PHARMACY,ABU DHABI,"CITYMALL, MADINAT ZAYED WESTERN REGION     ",02-8829915,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
MODERN PHARMACY L.L.C - BRANCH OF ABU DHABI 2,PHARMACY,ABU DHABI,"Al Hosn Tower, Al Nasir Street, Old Fish Market, Near  World Trade Centre-Abudhabhi",02-6449363,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
MODERN PHARMACY L.L.C - BRANCH OF ABU DHABI 3,PHARMACY,AL AIN,"Makani Zakher Mall, A18, Al grayyeh, Next To NEIMA School-Al Ain",03-7374622,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
MODERN PHARMACY L.L.C - SHJ BR -BR 05,PHARMACY,SHARJAH,"IBO Medical Center Building ,Sheikh Salem Al Qassimi St. Al Qarayen, Sharjah",06-5180875,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
YOUR CENTER POLYCLINIC L.L.C,CLINIC,DUBAI,AFNAN 3 SHOP NO-4 MAISAM FIRST MIDTOWN DUBAI PRODUCTION CITY,04-3657000,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Covered,
YOUR CENTER PHARMACY LLC,PHARMACY,DUBAI,AFNAN 3 SHOP NO-4 MAISAM FIRST MIDTOWN DUBAI PRODUCTION CITY,04-3629000,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
HealthBay Polyclinic Brof HealthBay Day Surgery,CLINIC,DUBAI,HealthBay Womens Care Bldg,04-3487140,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
MODERN AL RIQQA PHARMACY SHJ,PHARMACY,SHARJAH,Al Riqqa Area  Cooperative Bldg,06-5243214,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
MODERN PHARMACY - AJMAN,PHARMACY,AJMAN,"Ajman City Centre, AL JURF/ Al Jerf 2, Al Ittihad St",06-7480066,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
MODERN PHARMACY DUBAI,PHARMACY,DUBAI,Dubai  Nasser Square  Al Maktoom Street,04-2223879,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
American Academy of Cosmetic Surgery Hospital Pharmacy (AACSH) FZ-LLC ,PHARMACY,DUBAI,"Building 73, Umm Hurair 2, Dubai Healthcare City, Dubai",97144237600,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
MARINA DENTAL CENTER,CLINIC,DUBAI,Al Sufouh - Dubai Knowledge Park - Dubai Block 18 ,04-3693625,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Covered,
Oral Implantology Medical Center,CLINIC,DUBAI,"Flora Park Apartment,Al wahda Building #204 - Dubai UAE",04-2956595,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Covered,
GAYATHY HOSPITAL IN PATIENT PHARMACY,SEHA PHARMACY,ABU DHABI,"Ruwais, Nr Riyathi, | Abu Dhabi | United Arab Emirates",02-8070000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
